"gender","Job.Title.Description","Termination.Reason.Description","City","Pay.Frequency","Pay.Grade.Description","Protected.Veteran.Status","Voluntary.Involuntary.Termination.Flag","years_club","Attrition"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","LPN WTCC1",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","Nourishment Specialist","Another Job","Rochester","Weekly","20","No Answer","2","Club10","1"
"Female","TCC Dining Ambassador",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Social Worker MSW",NA,"Hilton","Biweekly","28","No Answer","No Info","Potential","0"
"Female","Speech Pathologist",NA,"Spencerport","Biweekly","32","2","No Info","Club10","0"
"Female","Nourishment Specialist",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Software Developer",NA,"Rochester","Biweekly","31","2","No Info","Potential","0"
"Female","Env Svc Assistant",NA,"Rochester","Weekly","20","No Answer","No Info","Club10","0"
"Female","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Club10","0"
"Female","Medical Clinic RN",NA,"Rochester","Biweekly","30","No Answer","No Info","Club10","0"
"Female","CNA 2nd Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","Nursing Supervisor",NA,"Rochester","Weekly","32","No Answer","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","LPN WTCC2","Another Job","Rochester","Weekly","26","No Answer","No Info","Potential","1"
"Female","CNA 4th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","LPN 5th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","Physical Therapist",NA,"Avon","Biweekly","32","No Answer","No Info","Club30","0"
"Female","LPN WTCC1",NA,"Rochester","Weekly","26","2","No Info","Club10","0"
"Male","TCC Dining Ambassador",NA,"Rochester","Weekly","21","No Answer","No Info","ClubElite","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","HIM Associate",NA,"Rochester","Weekly","22","2","No Info","Club20","0"
"Female","CNA 4th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","C/R ALU LPN Supervisor",NA,"Rochester","Weekly","28","2","No Info","Potential","0"
"Female","C/O Waitstaff",NA,"Irondequoit","Weekly","20","2","No Info","Potential","0"
"Female","C/O Waitstaff","No return from leave","Rochester","Weekly","20","2","No Info","Potential","1"
"Female","LPN 2nd Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","PM Cook",NA,"Rochester","Weekly","23","2","No Info","Potential","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","No Answer","No Info","ClubElite","0"
"Female","Part Time Health Nurse Coordinator",NA,"Rochester","Weekly","31","No Answer","No Info","Potential","0"
"Female","Sr. LPN 7th Floor",NA,"Rochester","Weekly","28","No Answer","No Info","Potential","0"
"Female","C/R Concierge",NA,"Walworth","Weekly","22","No Answer","No Info","Potential","0"
"Female","Resident Care Aide - The Glen",NA,"Ontario","Weekly","21","No Answer","No Info","Potential","0"
"Female","Manager Volunteer Services",NA,"Webster","Biweekly","31","No Answer","No Info","Club30","0"
"Female","Reimbursement Supervisor",NA,"Victor","Biweekly","34","No Answer","No Info","Club30","0"
"Male","C/R KUA/Runner",NA,"Rochester","Weekly","20","No Answer","No Info","Potential","0"
"Male","Dining Service Assistant","Absentee-Tardiness","Rochester","Weekly","20","3","No Info","Club10","1"
"Female","TCC Dining Ambassador",NA,"Rochester","Weekly","21","No Answer","No Info","Club30","0"
"Female","Physical Therapist",NA,"Honeoye Falls","Biweekly","32","2","No Info","Club10","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","Pharmacy Intern",NA,"East Rochester","Weekly","25","2","No Info","Potential","0"
"Female","CNA 5th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","Sr. CNA/Preceptor SCU",NA,"Rochester","Weekly","23","No Answer","No Info","Club20","0"
"Male","ITS Manager",NA,"North Chili","Biweekly","32","No Answer","No Info","Potential","0"
"Male","C/R Cook",NA,"Williamson","Weekly","23","2","No Info","Club10","0"
"Male","C/R Waitstaff",NA,"Ontario","Weekly","20","2","No Info","Potential","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Male","Clinical Dietician Per Diem",NA,"Pittsford","Weekly","28","4","No Info","Club10","0"
"Male","Staff Pharmacist",NA,"Penfield","Biweekly","37","No Answer","No Info","Club30","0"
"Male","Staff Attending Physician",NA,"Spencerport","Biweekly","88- Physician, 10% Target Bonus","2","No Info","Potential","0"
"Male","Staff Attending Physician",NA,"Rochester","Biweekly","88- Physician, 10% Target Bonus","2","No Info","Potential","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN SCU",NA,"Rochester","Weekly","26","No Answer","No Info","ClubElite","0"
"Female","PM Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Club10","0"
"Female","CNA 6th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 4th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","Resident Care Aide - Rainier Grove",NA,"Penfield","Weekly","21","No Answer","No Info","Club30","0"
"Female","Dining Services Supervisor",NA,"Rochester","Weekly","25","No Answer","No Info","Potential","0"
"Female","Per Diem Occup. Therapist",NA,"Rochester","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Club20","0"
"Female","Nutrition Assistant",NA,"Rochester","Weekly","21","No Answer","No Info","Club30","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","Accounting Analyst",NA,"Fairport","Biweekly","29","2","No Info","Potential","0"
"Female","Physical Therapist",NA,"Rochester","Biweekly","32","2","No Info","Potential","0"
"Male","C/R KUA/Runner",NA,"Rochester","Weekly","20","4","No Info","Potential","0"
"Female","Cafeteria Srvc Asst",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA SCU","Resignation","Rochester","Weekly","22","2","No Info","Potential","1"
"Female","CNA SACC",NA,"Ontario","Weekly","22","2","No Info","Potential","0"
"Female","C/R Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","C/R Driver",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Lead Cook",NA,"Rochester","Weekly","23","No Answer","No Info","Club20","0"
"Female","LPN WTCC2",NA,"Williamson","Weekly","26","2","No Info","Potential","0"
"Female","Staff RN 8th Flr","Did Not PD Req","Rochester","Weekly","30","2","No Info","Potential","1"
"Female","CNA 6th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA 4th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Education Aide",NA,"Rochester","Weekly","24","No Answer","No Info","ClubElite","0"
"Female","Resource Development Manager",NA,"Pittsford","Biweekly","32","No Answer","No Info","Potential","0"
"Female","C/R Laundry Associate",NA,"Rochester","Weekly","20","No Answer","No Info","Club30","0"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","CNA WTCC1",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","C/R Dementia Services Manager",NA,"Webster","Weekly","29","No Answer","No Info","ClubElite","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","LPN 4th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club10","0"
"Female","Sr. Rehab Aide",NA,"Rochester","Weekly","23","No Answer","No Info","Potential","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","Pharmacy Technician",NA,"Rochester","Weekly","23","No Answer","No Info","ClubElite","0"
"Female","Sr. HIM Associate",NA,"Rochester","Weekly","25","No Answer","No Info","Club30","0"
"Female","LPN SACC",NA,"Rochester","Weekly","26","2","No Info","Club10","0"
"Female","EHR Staff Educator","Poor Performance","Farmington","Biweekly","31","No Answer","1","Club30","1"
"Female","Nutrition Coordinator",NA,"Rochester","Weekly","24","No Answer","No Info","Club30","0"
"Female","LPN 9th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Male","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","HIM Associate",NA,"Webster","Weekly","22","2","No Info","Potential","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 8th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","LPN 4th Flr",NA,"Hilton","Weekly","26","2","No Info","Potential","0"
"Female","CNA 2nd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Male","Manager PPM",NA,"Rochester","Biweekly","31","No Answer","No Info","Potential","0"
"Male","C/R KUA/Runner",NA,"Rochester","Weekly","20","No Answer","No Info","Club20","0"
"Male","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Male","C/O Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Club20","0"
"Female","Resident Care Aide - Rainier Grove",NA,"Webster","Weekly","21","No Answer","No Info","Club20","0"
"Female","Per Diem Occup. Therapist","Elimination of Pos","Sodus","Weekly","74- Per Diem: PT/OT/Speech Path","2","No Info","Club20","1"
"Female","Clerical Assistant",NA,"Rochester","Weekly","21","2","No Info","Club10","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","HIM Svc. Technician",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Female","Per Diem Nurse Practitioner",NA,"Bloomfield","Weekly","77- Per Diem: Nurse Practitioner","No Answer","No Info","ClubElite","0"
"Female","Resident Care Aide - The Glen",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Nurse Educator",NA,"Fairport","Biweekly","31","2","No Info","Potential","0"
"Female","Wound Ostomy Nurse Practitioner",NA,"Rochester","Weekly","35","2","No Info","Club10","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA 6th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","ClubElite","0"
"Female","Laundry Worker",NA,"Rochester","Weekly","20","No Answer","No Info","Club30","0"
"Female","Per Diem Phys. Therapist",NA,"North Chili","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Club30","0"
"Female","Dining Service Assistant",NA,"Rochester","Weekly","20","No Answer","No Info","Club30","0"
"Female","LPN 4th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","C/R Security Sergeant",NA,"Webster","Weekly","22","No Answer","No Info","Potential","0"
"Female","Dir. Nursing",NA,"Hamlin","Biweekly","96- Director, 9% Target Bonus","No Answer","No Info","Club10","0"
"Female","Dir. Pharmacy",NA,"Rochester","Biweekly","96- Director, 9% Target Bonus","No Answer","No Info","Club30","0"
"Female","LPN 2nd Flr",NA,"Brockport","Weekly","26","No Answer","No Info","Club30","0"
"Female","Staff Development Assistant",NA,"Rochester","Weekly","25","No Answer","No Info","Club20","0"
"Female","Clinical Dietician",NA,"Fairport","Weekly","28","2","No Info","Club10","0"
"Male","SACC Lead Mechanic",NA,"Webster","Weekly","26","2","No Info","Club10","0"
"Male","Physician Assistant",NA,"Rochester","Biweekly","35","2","No Info","Potential","0"
"Male","CNA 3rd Flr",NA,"Albion","Weekly","22","2","No Info","Potential","0"
"Female","C/R Dining Services Captain",NA,"Rochester","Weekly","22","No Answer","No Info","Club20","0"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","LPN 8th Flr","Illness no return","Rochester","Weekly","26","2","No Info","Potential","1"
"Female","Medical Secretary",NA,"Webster","Weekly","23","2","No Info","Club10","0"
"Male","Protective Svc Officer",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Male","Physical Therapy Coord",NA,"Penfield","Biweekly","35","No Answer","No Info","Club30","0"
"Female","Occupational Therapist",NA,"Brockport","Biweekly","32","2","No Info","Club30","0"
"Female","C/R MC LPN Supervisor",NA,"Webster","Weekly","28","No Answer","No Info","Club20","0"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","PM Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","CNA 2nd Flr","Another Job","Rochester","Weekly","22","2","No Info","Club10","1"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","Staff Pharmacist",NA,"Rochester","Weekly","37","2","No Info","Potential","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","ClubElite","0"
"Female","Dining Service Assistant",NA,"Webster","Weekly","Class A","No Answer","No Info","Potential","0"
"Female","C/R ALU LPN Supervisor",NA,"Pittsford","Weekly","28","No Answer","No Info","Club20","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","C/O Cook",NA,"Rochester","Weekly","23","2","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Club20","0"
"Female","CNA 6th Flr","Absentee-Tardiness","Rochester","Weekly","22","2","1","Club10","1"
"Male","C/R Waitstaff","Another Job","Rochester","Weekly","20","No Answer","No Info","Club10","1"
"Female","CNA SACC",NA,"Webster","Weekly","22","No Answer","No Info","Club30","0"
"Female","Sr Business Analyst",NA,"Webster","Biweekly","32","2","No Info","Club20","0"
"Male","Lead Receiver",NA,"Rochester","Weekly","23","No Answer","No Info","Club20","0"
"Female","CNA 6th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA LCC",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","Per diem Healthcare Svcs Coord",NA,"Rochester","Weekly","31","No Answer","No Info","ClubElite","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 8th Flr",NA,"Ontario","Weekly","26","2","No Info","Potential","0"
"Male","Dining Service Assistant","Walked Off Job","Rochester","Weekly","20","2","No Info","Club10","1"
"Female","C/O Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Club10","0"
"Female","Laundry Worker",NA,"Rochester","Weekly","20","No Answer","No Info","Potential","0"
"Male","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","Grounds Helper",NA,"Fairport","Weekly","23","2","No Info","Club10","0"
"Female","CNA WTCC3",NA,"Rochester","Weekly","22","No Answer","No Info","ClubElite","0"
"Female","Laundry Worker",NA,"Rochester","Weekly","20","No Answer","No Info","Potential","0"
"Male","Pharmacy Technician",NA,"Rochester","Weekly","23","No Answer","No Info","Club30","0"
"Female","C/R ALU LPN Supervisor",NA,"Williamson","Weekly","28","No Answer","No Info","Club30","0"
"Female","Per Diem Occup. Therapist",NA,"Stanley","Weekly","74- Per Diem: PT/OT/Speech Path","2","No Info","Potential","0"
"Female","Per Diem Phys. Therapist",NA,"Avon","Weekly","74- Per Diem: PT/OT/Speech Path","2","No Info","Potential","0"
"Female","LPN 4th Flr",NA,"Rochester","Weekly","26","2","No Info","Club10","0"
"Female","CNA SACC",NA,"Webster","Weekly","22","2","No Info","Club10","0"
"Female","Dining Service Assistant","Dishonesty","Rochester","Weekly","20","2","No Info","Potential","1"
"Female","Resident Account Rep",NA,"Rochester","Weekly","25","2","No Info","Club10","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","Env Svc Assistant",NA,"Henrietta","Weekly","20","No Answer","No Info","Club30","0"
"Male","Grounds Team Leader",NA,"Ontario","Weekly","24","No Answer","No Info","Potential","0"
"Male","C/R Kitchen Manager",NA,"Spencerport","Biweekly","29","No Answer","No Info","Club30","0"
"Male","C/O Mechanic",NA,"Rochester","Weekly","25","No Answer","No Info","Club20","0"
"Male","Stationary Engineer",NA,"Naples","Weekly","29","No Answer","No Info","Club10","0"
"Male","Dining Service Assistant",NA,"Rochester","Weekly","20","No Answer","No Info","Club30","0"
"Male","C/R KUA/Runner",NA,"Penfield","Weekly","20","2","No Info","Club10","0"
"Male","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Assistant Director Dining Services",NA,"Pittsford","Biweekly","33","No Answer","No Info","Club30","0"
"Female","Reimbursement Nurse Specialist",NA,"Rochester","Biweekly","32","2","No Info","Club10","0"
"Female","HIM Associate",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Executive Assistant",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Resident Care Aide - The Glen",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA SACC",NA,"Webster","Weekly","22","2","No Info","Potential","0"
"Female","CNA WTCC1",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","HR Service Coordinator",NA,"Rochester","Biweekly","28","2","No Info","Potential","0"
"Female","Program Assistant",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA 8th Flr",NA,"Greece","Weekly","22","No Answer","No Info","Club30","0"
"Female","Per Diem Nurse Practitioner","Elimination of Pos","Avon","Weekly","77- Per Diem: Nurse Practitioner","2","1","Club10","1"
"Female","C/R Waitstaff","Abandoned Job","Webster","Weekly","20","2","No Info","Potential","1"
"Female","Sr. CNA/Preceptor SCU",NA,"Brockport","Weekly","23","No Answer","No Info","Club30","0"
"Female","Home & Heart Coordinator",NA,"Rochester","Biweekly","30","No Answer","No Info","Club10","0"
"Female","CNA LCC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","Dining Service Assistant","Did Not PD Req","Rochester","Weekly","20","2","No Info","Potential","1"
"Female","C/O Concierge",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Sr. LPN 3rd Flr",NA,"Rochester","Weekly","28","2","No Info","Potential","0"
"Female","CNA WTCC1","Abandoned Job","Rochester","Weekly","22","2","2","Potential","1"
"Female","Resident Care Aide - The Glen",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Female","C/R Assisted Living Manager",NA,"Rochester","Biweekly","29","No Answer","No Info","Club10","0"
"Female","CNA 7th Flr",NA,"Henrietta","Weekly","22","No Answer","No Info","Club30","0"
"Female","C/R Concierge",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","Reimbursement Nurse Specialist","Another Job","Penfield","Weekly","NC Crd/ReimNr","No Answer","No Info","Potential","1"
"Male","Sr. VP/CFO",NA,"Irondequoit","Biweekly","98- Sr VP, 15% Target Bonus","No Answer","No Info","Club30","0"
"Male","C/R KUA/Runner",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","CNA 4th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA SACC","Abandoned Job","Rochester","Weekly","22","2","No Info","Potential","1"
"Female","CNA 2nd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Chief Medical Officer",NA,"Webster","Biweekly","97- VP, 15% Target Bonus","No Answer","No Info","Club20","0"
"Female","CNA LCC",NA,"rochester","Weekly","22","2","No Info","Potential","0"
"Female","Financial Liaison",NA,"Rochester","Biweekly","31","2","No Info","Club10","0"
"Female","Wound Ostomy Nurse Practitioner",NA,"Spencerport","Biweekly","35","2","No Info","Potential","0"
"Female","Cafeteria Srvc Asst","Walked Off Job","Rocehster","Weekly","20","No Answer","No Info","Potential","1"
"Male","Dining Services Manager",NA,"Walworth","Biweekly","29","No Answer","No Info","Club20","0"
"Female","PM Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Home & Heart Program Assistant",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
