@relation UScensus_exercise

@attribute caseid numeric

@attribute dAge {0,1,2,3,4,5,6,7}

@attribute dAncstry1 {0,1,2,3,4,5,6,7,8,9,10,11}

@attribute dAncstry2  {0,1,2,3,4,5,6,7,8,9,10,11,12}
@attribute iAvail {0,1,2,3,4}

@attribute iCitizen {0,1,2,3,4}

@attribute iClass {0,1,2,3,4,5,6,7,8,9}

@attribute dDepart {0,1,2,3,4,5}
@attribute iDisabl1 {0,1,2}

@attribute iDisabl2 {0,1,2}

@attribute iEnglish {0,1,2,3,4}

@attribute iFeb55 {0,1}
@attribute iFertil {0,1,2,3,4,5,6,7,8,9,10,11,12,13}

@attribute dHispanic {0,1,2,3,4,5,6,7,8,9}

@attribute dHour89 {0,1,2,3,4,5}

@attribute dHours {0,1,2,3,4,5}

@attribute iImmigr {0,1,2,3,4,5,6,7,8,9,10}

@attribute dIncome1 {0,1,2,3,4}

@attribute dIncome2 {0,1}

@attribute dIncome3 {0,1}

@attribute dIncome4 {0,1}

@attribute dIncome5 {0,1}

@attribute dIncome6 {0,1}

@attribute dIncome7 {0,1}

@attribute dIncome8 {0,1}

@attribute dIndustry {0,1,2,3,4,5,6,7,8,9,10,11,12}

@attribute iKorean {0,1}

@attribute iLang1 {0,1,2}

@attribute iLooking {0,1,2}

@attribute iMarital {0,1,2,3,4}
@attribute iMay75880 {0,1}
@attribute iMeans {0,1,2,3,4,5,6,7,8,9,10,11,12}
@attribute iMilitary {0,1,2,3,4}

@attribute iMobility {0,1,2}
@attribute iMobillim {0,1,2}

@attribute dOccup {0,1,2,3,4,5,6,7,8}

@attribute iOthrserv {0,1}

@attribute iPerscare {0,1,2}

@attribute dPOB {0,1,2,3,4,5,6}

@attribute dPoverty {0,1,2}

@attribute dPwgt1 {0,1,2,3}

@attribute iRagechld {0,1,2,3,4}

@attribute dRearning {0,1,2,3,4,5}

@attribute iRelat1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13}

@attribute iRelat2 {0,1,2,3,4,5,6,7,8,9}

@attribute iRemplpar {0,111,112,113,114,121,122,133,134,141,211,212,213,221,222,223}

@attribute iRiders {0,1,2,3,4,5,6,7,8}

@attribute iRlabor {0,1,2,3,4,5,6}

@attribute iRownchld {0,1}

@attribute dRpincome {0,1,2,3,4,5}

@attribute iRPOB {10,21,22,23,24,31,32,33,34,35,36,40,51,52}

@attribute iRrelchld {0,1}

@attribute iRspouse {0,1,2,3,4,5,6}

@attribute iRvetserv {0,1,2,3,4,5,6,7,8,9,10,11}

@attribute iSchool {0,1,2,3}

@attribute iSept80 {0,1}

@attribute iSex {0,1}

@attribute iSubfam1 {0,1,2,3}

@attribute iSubfam2 {0,1,2,3}

@attribute iTmpabsnt {0,1,2,3}

@attribute dTravtime {0,1,2,3,4,5,6}

@attribute iVietnam {0,1}

@attribute dWeek89 {0,1,2}

@attribute iWork89 {0,1,2}

@attribute iWorklwk {0,1,2}

@attribute iWWII {0,1}

@attribute iYearsch {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@attribute iYearwrk {0,1,2,3,4,5,6,7}

@attribute dYrsserv {0,1,2}



@data
20010,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20011,3,1,1,0,0,1,5,2,2,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,2,2,1,0,2,0,2,1,4,3,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,16,1,0
20012,2,2,1,0,0,1,5,2,2,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,8,0,2,0,4,0,10,4,2,2,3,0,2,0,2,1,4,2,2,0,221,0,1,1,2,10,1,6,0,2,0,1,0,0,0,1,0,1,1,1,0,7,1,0
20013,4,3,1,0,3,1,2,2,2,3,0,0,0,3,3,6,2,0,0,1,0,0,0,1,3,0,1,0,0,0,1,4,1,2,5,0,2,4,2,2,0,3,0,0,0,1,1,0,4,51,0,1,0,1,0,0,0,0,0,5,0,1,1,1,0,4,1,0
20014,5,3,1,0,0,1,4,2,2,0,0,0,2,3,2,0,2,0,0,0,0,0,0,1,3,0,2,0,4,0,10,4,1,2,6,0,2,0,2,1,0,3,0,0,0,0,1,0,3,10,0,6,0,1,0,0,0,0,0,2,0,1,1,1,0,11,1,0
20015,2,0,1,0,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,2,2,4,0,0,4,1,2,4,0,1,0,2,1,0,2,2,0,121,0,6,1,2,10,1,6,0,2,0,0,0,0,3,0,0,1,1,2,0,6,2,0
20016,4,1,3,0,0,1,3,2,2,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,1,2,2,0,2,0,2,1,2,3,0,0,0,1,1,0,3,22,0,1,0,1,0,1,0,0,0,5,0,2,1,1,0,11,1,0
20017,7,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,4,1,2,0,0,2,0,2,0,4,0,0,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,11,6,0
20018,6,11,1,0,0,1,1,1,2,0,0,0,0,3,3,0,1,0,0,0,0,0,0,1,3,0,2,0,0,0,1,4,1,2,6,0,2,0,1,1,0,2,0,0,0,1,1,0,2,10,0,1,0,1,0,0,0,0,0,5,0,1,1,1,0,10,1,0
20019,5,1,2,0,0,4,3,2,2,0,0,2,0,3,3,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,4,3,1,0,0,1,1,0,3,23,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,15,1,0
20020,6,3,1,0,0,6,3,2,2,2,0,0,0,5,5,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,1,4,1,2,5,0,2,0,2,2,0,3,0,0,0,3,1,0,3,23,0,1,0,1,0,0,0,0,0,6,0,2,1,1,0,5,1,0
20021,7,1,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,0,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,6,0
20022,5,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,0,0,4,2,1,0,0,2,0,2,2,4,0,2,0,0,0,6,0,2,10,0,5,0,1,0,1,0,0,3,0,0,0,2,2,0,11,6,0
20023,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,2,4,0,2,0,221,0,0,1,0,23,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,0,0
20024,6,1,1,0,0,6,3,2,2,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,1,2,2,2,2,0,2,0,2,1,0,3,0,0,0,1,1,0,3,10,0,1,7,1,0,0,0,0,0,5,0,2,1,1,0,11,1,1
20025,6,1,2,0,0,6,0,2,2,0,0,0,0,5,5,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,11,2,1,2,6,0,2,0,2,1,0,2,0,0,0,0,1,0,2,10,0,1,8,1,0,0,0,0,0,0,0,2,1,1,0,10,1,1
20026,4,1,1,0,0,6,3,2,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,2,0,4,0,1,4,2,2,4,0,2,0,1,0,0,2,0,0,0,1,1,0,2,10,0,6,0,1,0,0,0,0,0,5,0,1,1,1,0,11,1,0
20027,5,9,1,0,4,1,3,2,2,0,0,4,0,3,3,2,2,0,0,0,0,0,0,0,8,0,2,0,3,0,2,4,2,2,3,0,2,3,2,1,4,3,11,0,0,0,1,0,3,52,0,5,0,1,0,1,0,0,0,5,0,2,1,1,0,14,1,0
20028,4,11,1,0,0,1,4,2,2,0,0,0,0,3,5,0,3,0,0,0,0,0,0,0,8,0,2,0,2,0,2,4,2,2,1,0,2,0,2,2,0,4,0,0,0,0,1,0,4,10,0,4,0,1,0,0,0,0,0,3,0,2,1,1,0,11,1,0
20029,3,1,1,4,0,1,0,2,2,0,0,2,0,3,0,0,1,0,0,0,0,0,0,1,8,0,2,1,0,0,0,4,2,2,5,0,2,0,2,2,1,2,1,0,0,0,3,0,2,10,0,1,0,1,0,1,0,0,1,0,0,1,1,2,0,10,2,0
20030,4,3,1,0,0,5,0,2,2,1,0,6,9,3,0,0,2,0,0,0,0,0,0,0,9,0,1,1,3,0,0,4,1,2,2,0,2,0,2,3,3,3,0,0,0,0,6,0,3,10,0,5,0,1,0,1,0,0,3,0,0,2,1,2,0,10,2,0
20031,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,211,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
20032,6,1,2,0,0,7,4,2,2,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,4,1,2,0,0,0,1,2,1,2,1,0,2,0,2,2,0,5,0,0,0,1,1,0,5,22,0,1,8,1,0,0,0,0,0,2,0,2,1,1,0,10,1,1
20033,7,1,2,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,2,0,0,2,0,2,1,0,0,0,0,0,0,6,0,3,23,0,1,10,1,0,0,0,0,0,0,0,0,2,2,1,8,5,1
20034,7,11,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,4,1,1,0,0,1,0,2,1,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,10,6,0
20035,3,1,1,0,0,1,3,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,9,0,2,0,4,0,1,4,2,2,2,0,2,0,0,1,4,2,13,0,0,1,1,0,2,10,0,6,0,2,0,1,0,0,0,4,0,1,1,1,0,11,1,0
20036,4,3,1,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,0,0,4,1,1,0,0,1,0,1,1,3,0,2,0,0,0,6,0,2,24,0,6,0,1,0,1,2,1,3,0,0,0,2,2,0,1,6,0
20037,3,1,2,0,0,1,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,2,2,4,0,0,4,1,2,6,0,2,0,2,1,0,2,2,0,0,0,6,0,2,10,0,6,0,2,0,0,0,0,3,0,0,1,1,2,0,10,1,0
20038,7,1,1,0,0,0,0,2,2,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,0,4,0,1,0,0,0,6,0,4,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,14,6,0
20039,6,1,1,0,0,1,0,1,1,0,1,0,0,3,0,0,1,0,0,1,0,0,0,1,4,0,2,2,3,0,0,2,1,2,5,0,2,0,2,1,0,2,0,0,0,0,6,0,3,10,0,5,7,1,0,0,0,0,3,0,0,1,1,2,0,11,2,1
20040,6,0,1,0,0,1,2,1,2,0,0,0,0,5,5,0,1,0,0,1,0,0,0,0,7,1,2,0,0,0,1,2,1,2,2,0,2,0,2,1,0,2,0,0,0,1,1,0,2,23,0,1,9,1,0,0,0,0,0,5,0,1,1,1,1,11,1,1
20041,3,1,1,0,0,1,3,2,2,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,9,0,2,0,4,0,1,4,2,2,1,0,2,0,2,1,0,4,9,0,0,1,1,0,4,21,0,6,0,1,0,0,0,0,0,6,0,2,1,1,0,14,1,0
20042,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,112,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20043,3,2,2,0,0,1,4,2,2,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,4,0,2,0,4,0,1,4,1,2,1,0,2,0,2,1,0,2,2,0,0,1,1,0,2,10,0,6,0,1,0,0,0,0,0,3,0,1,1,1,0,14,1,0
20044,7,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,2,2,0,0,0,2,1,2,2,0,2,0,2,1,0,0,0,0,0,0,6,0,4,10,0,1,10,1,0,0,0,0,3,0,0,0,2,2,1,8,4,1
20045,6,1,1,0,0,6,2,2,2,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,1,2,1,2,5,0,1,0,2,2,0,2,0,0,0,1,1,0,2,22,0,1,8,1,0,0,0,0,0,5,0,1,1,1,0,7,1,1
20046,4,1,1,0,0,6,3,2,2,0,0,0,0,5,5,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,4,1,2,5,0,2,0,1,2,0,2,1,0,0,2,1,0,2,10,0,1,0,1,0,0,0,0,0,5,0,1,1,1,0,10,1,0
20047,3,1,2,4,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,1,4,0,0,4,2,2,3,0,2,0,2,1,0,2,2,0,0,0,3,0,2,10,0,6,0,2,0,0,0,0,1,0,0,1,1,2,0,11,1,0
20048,3,1,3,0,0,1,2,1,2,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,8,0,2,0,4,0,1,4,1,2,3,0,2,0,2,2,0,2,2,0,0,1,1,0,2,10,0,6,0,2,0,0,0,0,0,1,0,1,1,1,0,11,1,0
20049,7,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,2,0,0,0,0,0,0,6,0,3,10,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,6,6,0
20050,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,1,1,4,0,3,0,122,0,0,1,0,24,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
20051,4,11,1,0,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,4,2,1,0,0,2,0,2,0,1,0,2,0,0,0,6,0,2,10,0,4,0,1,0,1,2,1,3,0,0,0,2,2,0,10,6,0
20052,2,1,1,0,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,2,2,4,0,0,4,2,2,4,0,2,0,2,1,0,2,3,0,112,0,6,1,2,10,1,6,0,2,0,0,0,0,3,0,0,1,1,2,0,6,2,0
20053,2,3,1,0,4,0,0,2,2,4,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,4,2,2,0,0,2,4,2,1,1,0,7,3,0,0,6,0,0,52,1,6,0,1,0,1,2,1,3,0,0,0,2,2,0,4,7,0
20054,7,1,2,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,1,0,0,4,1,2,0,0,2,0,2,0,4,0,0,0,0,0,6,0,4,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,14,6,0
20055,3,1,2,0,0,1,4,2,2,0,0,3,0,1,1,0,1,0,0,1,0,0,0,0,7,0,2,0,0,0,1,4,1,2,2,0,2,0,2,1,1,2,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,1,0,2,1,1,0,10,1,0
20056,2,3,1,0,4,0,0,2,2,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,2,2,0,0,2,4,2,1,4,0,7,7,0,0,6,0,0,52,0,2,0,1,0,1,0,0,3,0,0,0,2,2,0,5,7,0
20057,5,0,1,0,0,1,4,2,2,0,0,4,0,2,3,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,1,2,2,0,2,0,2,1,2,2,1,0,0,1,1,0,2,10,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,10,1,0
20058,3,1,1,4,0,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,2,1,0,0,0,4,2,2,8,0,2,0,1,0,0,0,0,0,0,0,3,0,2,10,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,10,5,0
20059,3,3,1,1,4,9,0,2,2,4,0,0,8,0,0,1,0,0,0,0,0,0,0,0,12,0,1,1,4,0,0,4,2,2,8,0,2,4,1,1,0,0,2,0,0,0,3,0,0,52,0,6,0,1,0,0,0,0,3,0,0,0,2,2,0,9,5,0
20060,3,3,4,0,1,1,3,2,2,1,0,3,2,3,3,7,2,0,0,0,0,0,0,0,7,0,1,0,4,0,1,4,2,2,2,0,2,1,2,1,1,3,0,0,0,3,1,0,3,31,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,11,1,0
20061,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,111,0,0,1,0,40,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20062,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20063,3,1,2,0,0,1,3,2,2,0,0,1,0,3,3,0,3,0,0,0,0,0,0,0,7,0,2,0,4,0,1,4,1,2,5,0,2,0,2,1,4,4,2,0,0,1,1,0,4,22,0,6,0,1,0,1,0,0,0,1,0,2,1,1,0,10,1,0
20064,5,1,1,0,0,1,3,2,2,0,0,1,0,3,3,0,2,0,0,1,0,0,0,0,5,0,2,0,4,0,1,4,1,2,2,0,2,0,2,2,4,3,2,0,0,1,1,0,3,10,0,6,0,1,0,1,0,0,0,4,0,2,1,1,0,10,1,0
20065,6,11,1,0,0,1,5,2,2,1,0,1,0,3,4,0,3,0,0,0,0,0,0,0,8,0,1,0,1,0,1,4,1,2,5,0,2,0,2,2,4,4,0,0,0,1,1,0,4,23,0,3,0,1,0,1,0,0,0,5,0,2,1,1,0,10,1,0
20066,3,1,2,0,0,1,3,2,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,4,0,2,0,4,0,1,4,1,2,6,0,2,0,2,1,0,2,2,0,0,2,1,0,2,10,0,6,0,2,0,0,0,0,0,4,0,1,1,1,0,11,1,0
20067,4,11,1,0,0,4,3,1,2,0,0,1,0,1,2,0,1,0,0,0,0,1,0,0,9,0,2,0,4,0,1,4,1,1,2,0,2,0,2,2,4,2,2,0,0,7,1,0,2,10,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,9,1,0
20068,6,1,1,0,0,4,3,2,2,0,0,9,0,2,3,0,1,0,0,0,0,0,0,0,10,0,2,0,0,0,1,4,1,2,2,0,2,0,2,1,4,2,1,0,0,1,1,0,2,23,0,1,0,1,0,1,0,0,0,5,0,1,1,1,0,10,1,0
20069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,4,0,7,4,211,0,0,0,0,10,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0
20070,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,1,2,0,0,2,0,2,1,0,0,2,0,111,0,0,1,2,10,1,6,0,2,0,0,0,0,0,0,0,0,0,2,0,6,0,0
20071,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,0,0,6,0,223,0,0,0,0,10,1,0,0,2,0,0,3,1,0,0,0,0,0,2,0,5,0,0
20072,7,11,1,0,0,2,5,2,2,0,0,2,0,1,1,0,1,0,0,1,1,0,0,0,9,0,2,0,1,0,1,4,1,2,3,0,2,0,2,2,4,2,0,0,0,1,1,0,2,10,0,3,0,1,0,1,0,0,0,5,0,1,1,1,0,10,1,0
20073,7,1,1,0,0,1,0,2,2,1,0,1,0,2,0,0,2,0,0,1,0,0,1,1,4,0,1,2,2,0,0,4,1,2,2,0,2,0,2,3,4,3,0,0,0,0,6,0,4,10,0,4,0,1,0,1,0,0,3,0,0,1,1,2,0,11,1,0
20074,4,1,1,4,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,7,0,2,1,4,0,0,4,2,2,6,0,2,0,1,1,0,2,0,0,0,0,3,0,2,10,0,6,0,2,0,0,0,0,3,0,0,1,1,2,0,14,2,0
20075,7,0,1,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,2,0,0,0,2,1,2,5,0,2,0,2,2,0,0,0,0,0,0,6,0,3,23,0,1,10,1,0,0,0,0,3,0,0,0,2,2,1,10,4,1
